Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths,Latitude,Longitude
"COLUMBIANA HEALTH AND REHABILITATION, LLC",015453,22969 HIGHWAY 25,COLUMBIANA,Shelby,52,18,31,10,49,50,14,0,33.19437,-86.591664
"GENERATIONS OF RED BAY, LLC",015201,106 TENTH AVENUE NORTHWEST,RED BAY,Franklin,3,19,10,1,59,7,66,0,34.450158,-88.146575
AHC MILLENIUM,015458,5275 MILLENNIUM DRIVE,HUNTSVILLE,Madison,0,9,20,0,73,5,5,0,34.753558,-86.6647
WEST GATE VILLAGE,015035,100 PINEVIEW AND THIRD P.O. BOX 49,BREWTON,Escambia,68,11,11,8,100,42,15,0,0,0
HALEYVILLE HEALTH CARE CENTER,015157,2201 11TH AVENUE,HALEYVILLE,Winston,5,5,20,1,50,15,21,0,34.228696,-87.621338
WESLEY PLACE ON HONEYSUCKLE,015175,718 HONEYSUCKLE ROAD,DOTHAN,Houston,92,4,41,27,132,68,20,0,31.219941,-85.434841
COTTAGE OF THE SHOALS,015067,500 JOHN ALDRIDGE DRIVE,TUSCUMBIA,Colbert,18,8,15,1,65,31,19,0,34.726575,-87.679028
DIVERSICARE OF LANETT,015196,702 SOUTH 13TH STREET,LANETT,Chambers,9,1,39,0,75,17,6,0,32.857048,-85.19576
HERITAGE HEALTH CARE & REHAB INC,015371,1101 SNOWS MILL AVENUE,TUSCALOOSA,Tuscaloosa,70,31,45,12,118,56,24,0,33.228213,-87.56034
ALTOONA  HEALTH & REHAB,015101,6532 WALNUT GROVE ROAD,ALTOONA,Etowah,34,3,5,5,43,33,1,0,34.034331,-86.31955400000001
TLC NURSING CENTER,015422,212 ELLEN STREET,ONEONTA,Blount,56,7,28,10,67,28,0,0,33.964315,-86.456099
ASPIRE PHYSICAL RECOVERY CENTER AT CAHABA RIVER,015468,3070 HEALTHY WAY,VESTAVIA,Jefferson,11,9,25,0,91,15,4,0,33.427556,-86.737347
KIRKWOOD BY THE RIVER,015457,3605 RATLIFF ROAD,BIRMINGHAM,Jefferson,22,0,7,7,39,15,0,0,33.542569,-86.634703
LEGACY HEALTH AND REHABILITATION OF PLEASANT GROVE,015461,30 7TH STREET,PLEASANT GROVE,Jefferson,9,32,19,0,117,14,12,1,33.489091,-86.956908
ORCHARD REHABILITATION & HEALTHCARE CENTER,015442,629 STATE HIGHWAY 21 SOUTH,HAYNEVILLE,Lowndes,10,0,4,4,52,25,0,0,32.178871,-86.590764
ANNISTON HEALTH AND REHAB SERVICES,015375,600 E 8TH STREET,ANNISTON,Calhoun,1,0,8,0,60,12,0,0,0,0
MONROE MANOR HEALTH & REHABILITATION CENTER,015398,236 WEST CLAIBORNE STREET,MONROEVILLE,Monroe,54,17,9,5,63,58,28,0,31.526525,-87.328088
"NHC HEALTHCARE, MOULTON",015128,300 HOSPITAL STREET,MOULTON,Lawrence,76,1,28,25,94,58,2,0,34.483691,-87.28598900000001
HATLEY HEALTH CARE INC,015023,300 MEDICAL CENTER DRIVE,CLANTON,Chilton,104,20,35,25,99,86,54,0,32.854872,-86.626014
"TALLADEGA HEALTHCARE CENTER, INC",015162,616 CHAFFEE STREET,TALLADEGA,Talladega,117,220,14,5,178,67,59,0,33.427681,-86.0881
SHELBY RIDGE NURSING HOME,015411,881 3RD STREET NORTHEAST,ALABASTER,Shelby,58,71,53,13,124,42,72,0,33.251015,-86.811821
"LUVERNE HEALTH AND REHABILITATION, LLC",015336,142 WEST THIRD STREET,LUVERNE,Crenshaw,80,16,47,17,114,54,31,0,31.716316,-86.266136
"GEORGIANA HEALTH AND REHABILITATION, LLC",015182,206 PALMER AVENUE,GEORGIANA,Butler,29,1,16,2,84,11,4,0,31.642937,-86.73282100000002
DIVERSICARE OF BESSEMER,015209,820 GOLF COURSE ROAD,BESSEMER,Jefferson,78,2,42,26,130,54,3,1,33.369766,-86.991533
DIVERSICARE OF RIVERCHASE,015145,2500 RIVERHAVEN DRIVE,BIRMINGHAM,Jefferson,62,26,16,13,103,39,11,0,0,0
COLLINSVILLE HEALTHCARE & REHAB,015207,685 NORTH VALLEY AVE,COLLINSVILLE,DeKalb,75,45,33,8,141,66,38,1,34.271329,-85.857688
SPRINGHILL MANOR NURSING HOME,015415,3900 OLD SHELL ROAD,MOBILE,Mobile,4,2,2,0,0,8,2,0,30.698571000000005,-88.134047
ARBOR WOODS HEALTH AND REHAB,015141,515 2ND AVENUE NORTHWEST,REFORM,Pickens,0,0,6,0,53,4,2,0,33.381773,-88.019974
TWIN OAKS REHABILITATION AND HEALTHCARE CENTER,015211,857 CRAWFORD LANE,MOBILE,Mobile,92,2,16,11,93,71,7,0,30.716861,-88.073534
MCGUFFEY HEALTH & REHABILITATION CENTER,015202,2301 RAINBOW DRIVE,GADSDEN,Etowah,25,28,40,1,141,23,72,0,33.970964,-86.01993
CROWNE HEALTH CARE OF EUFAULA,015199,430 RIVERS AVENUE,EUFAULA,Barbour,118,27,37,11,128,53,28,0,31.890289,-85.158103
LAFAYETTE EXTENDED CARE,015197,805 HOSPITAL STREET SOUTHWEST,LAFAYETTE,Chambers,1,1,9,1,54,3,1,0,32.884336,-85.412365
BARON HOUSE OF HUEYTOWN,015404,190 BROOKLANE DRIVE,HUEYTOWN,Jefferson,13,0,23,12,29,26,23,0,33.446755,-86.979029
FALKVILLE HEALTH CARE CENTER,015136,10 WEST 3RD STREET  PO BOX 409,FALKVILLE,Morgan,70,21,16,10,79,35,25,0,34.368669,-86.910173
EASTVIEW REHABILITATION & HEALTHCARE CENTER,015014,7755 FOURTH AVENUE SOUTH,BIRMINGHAM,Jefferson,31,6,6,0,68,35,1,0,33.559483,-86.722451
WIREGRASS REHABILITATION CENTER & NURSING HOME,015150,1200 MAPLE AVENUE WEST,GENEVA,Geneva,33,4,25,11,73,49,33,0,31.048063000000003,-85.890837
REGENCY HEALTH CARE AND REHABILITATION CENTER,015372,"2061 POOLE DRIVE, NW",HUNTSVILLE,Madison,2,4,3,0,70,3,2,0,34.761811,-86.595342
"NORTHWAY HEALTH AND REHABILITATION, LLC",015047,1424 NORTH 25TH STREET,BIRMINGHAM,Jefferson,10,5,12,0,103,12,3,0,33.533253,-86.809226
CHERRY HILL REHABILITATION & HEALTHCARE CENTER,015445,1250 JEFF GERMANY PARKWAY,BIRMINGHAM,Jefferson,35,2,5,0,101,24,0,0,33.560549,-86.868957
LIGHTHOUSE REHABILITATION & HEALTHCARE CENTER,015413,2911 EARL GOODWIN PARKWAY,SELMA,Dallas,23,13,8,3,59,21,6,0,32.439932,-87.014543
"PRATTVILLE HEALTH AND REHABILITATION, LLC",015065,601 JASMINE TRAIL,PRATTVILLE,Autauga,24,11,34,2,118,36,16,0,32.480579,-86.428676
DIVERSICARE OF ONEONTA,015159,215 VALLEY ROAD,ONEONTA,Blount,33,1,16,0,107,52,7,1,33.951988,-86.466169
ALICEVILLE MANOR NURSING HOME,015137,703 17TH STREET NORTHWEST,ALICEVILLE,Pickens,39,27,11,3,71,31,27,0,33.134382,-88.16865
BIBB MED CENTER NURSING HOME,015215,208 PIERSON AVE,CENTREVILLE,Bibb,100,8,30,15,97,42,0,0,32.951101,-87.147865
ANDALUSIA MANOR,015416,670 MOORE RD,ANDALUSIA,Covington,60,24,22,9,89,54,27,0,31.282418999999997,-86.497781
SOUTHERN SPRINGS HEALTHCARE FACILITY,015171,745 SOUTHERN SPRINGS ROAD,UNION SPRINGS,Bullock,60,42,20,10,87,47,6,0,32.140365,-85.689097
BROOKDALE UNIVERSITY PARK SNF (AL),015423,501 UNIVERSITY PARK DRIVE,BIRMINGHAM,Jefferson,6,2,28,0,51,12,15,0,33.457706,-86.799149
WINDSOR HOUSE,015397,4411 MCALLISTER DRIVE,HUNTSVILLE,Madison,28,0,8,0,98,39,1,0,34.71745,-86.630382
"OZARK HEALTH AND REHABILITATION, LLC",015208,312 BRYAN DRIVE,OZARK,Dale,81,7,46,21,123,74,5,0,31.472283,-85.633872
"ASPIRE PHYSICAL RECOVERY CENTER AT HOOVER, LLC",015464,575 SOUTHLAND DRIVE,HOOVER,Jefferson,10,17,26,0,92,15,25,0,33.410061,-86.81002100000002
PARK PLACE,015084,100 PARK PLACE,SELMA,Dallas,48,0,12,12,82,52,1,0,32.426488,-87.053552
CANTERBURY HEALTH CARE FACILITY,015382,1720 KNOWLES ROAD,PHENIX CITY,Russell,22,0,15,5,103,23,0,0,32.447315,-85.019552
CULLMAN HEALTH CARE CENTER,015048,1607 MAIN AVE NE,CULLMAN,Cullman,0,0,7,0,75,6,101,0,34.192058,-86.847418
"FLORENCE NURSING AND REHABILITATION CTR,  LLC",015169,2107 CLOYD BLVD,FLORENCE,Lauderdale,68,32,68,22,117,60,39,0,34.836381,-87.649766
ALLEN HEALTH AND REHABILITATION,015098,735 SOUTH WASHINGTON AVENUE,MOBILE,Mobile,49,26,24,18,66,51,6,1,30.672585999999995,-88.052128
"LINEVILLE HEALTH AND REHABILITATION, LLC",015142,88073 HIGHWAY 9,LINEVILLE,Clay,60,46,26,12,77,41,32,0,33.304426,-85.758194
"PALM GARDENS HEALTH AND REHABILITATION, LLC",015403,3104 DAUPHIN SQUARE CONNECTOR,MOBILE,Mobile,42,6,29,7,68,34,6,0,30.692507000000003,-88.118942
HEALTH CARE INC,015407,P O BOX 130,ASHVILLE,St. Clair,0,0,4,0,47,4,5,0,0,0
MOBILE NURSING AND REHABILITATION CENTER,015379,7020 BRUNS DRIVE,MOBILE,Mobile,41,17,6,3,90,30,11,0,30.657825000000003,-88.204855
"CAREGIVERS OF PLEASANT GROVE, INC",015044,700 FIRST AVENUE,PLEASANT GROVE,Jefferson,35,21,15,11,47,18,3,0,33.487763,-86.95626
"CHAPMAN HEALTHCARE CENTER, INC",015221,3701 DADEVILLE ROAD,ALEXANDER CITY,Tallapoosa,9,0,22,1,148,7,0,0,32.909983,-85.919439
FAIRVIEW AT REDSTONE VILLAGE,015454,12000 TURNMEYER DRIVE,HUNTSVILLE,Madison,9,2,9,0,46,12,17,0,34.607304,-86.559341
PARKWOOD HEALTH CARE FACILITY,015179,3301 STADIUM DRIVE,PHENIX CITY,Russell,2,3,28,0,69,14,16,0,32.490965,-85.018939
CLEBURNE COUNTY NURSING HOME,015053,122 BROCKFORD ROAD,HEFLIN,Cleburne,,,,,,,,,33.63607300000001,-85.589035
DIVERSICARE OF WINFIELD,015376,144 COUNTY HWY 14,WINFIELD,Marion,72,17,30,15,101,42,19,1,33.937692,-87.820898
ROANOKE REHABILITATION & HEALTHCARE CENTER,015424,680 SEYMOUR DRIVE,ROANOKE,Randolph,42,22,6,6,48,35,10,0,33.141878,-85.383506
"OAK KNOLL HEALTH AND REHABILITATION, LLC",015117,824 SIXTH AVENUE WEST,BIRMINGHAM,Jefferson,73,25,13,1,75,42,8,0,33.510568,-86.850394
"MOUNDVILLE HEALTH AND REHABILITATION, LLC",015187,THIRD AVENUE    P O BOX 607,MOUNDVILLE,Hale,0,7,22,0,57,10,15,0,0,0
WASHINGTON COUNTY NURSING HOME,015123,14600 ST STEPHENS AVENUE,CHATOM,Washington,26,21,11,4,77,29,16,1,31.460296000000003,-88.235291
OAKWOOD-NORTH BALDWIN'S CENTER FOR LIVING,015417,2010 MEDICAL CENTER DRIVE,BAY MINETTE,Baldwin,46,19,13,4,60,34,38,0,30.905552,-87.786446
NORTHSIDE HEALTH CARE,015223,700 HUTCHINS AVENUE,GADSDEN,Etowah,34,4,4,1,89,41,8,0,34.042751,-85.954822
COLONIAL HAVEN CARE & REHABILITATION CENTER,015396,616 ARMORY STREET,GREENSBORO,Hale,44,0,14,11,65,56,0,1,32.699648,-87.585068
CAMDEN NURSING FACILITY INC.,015374,210 PONDEROSA DRIVE,CAMDEN,Wilcox,32,4,11,6,49,40,13,0,0,0
MADISON MANOR NURSING HOME,015214,3891 SULLIVAN ST,MADISON,Madison,0,7,12,0,70,6,21,0,34.683955,-86.751669
LYNWOOD NURSING HOME,015434,4164 HALLS MILL ROAD,MOBILE,Mobile,55,0,20,18,104,42,10,0,30.626021,-88.13685
"RIDGEVIEW HEALTH SERVICES, INC",015155,"907 11TH STREET, NE",JASPER,Walker,112,55,52,20,93,110,76,0,33.859719,-87.26335
SANCTUARY AT THE WOODLANDS,015471,1910 CHEROKEE  AVENUE SW,CULLMAN,Cullman,9,0,12,4,28,15,11,0,34.150254,-86.844082
TRAYLOR RETIREMENT COMMUNITY,015126,1235 YANCEY STREET  P O BOX 467,ROANOKE,Randolph,58,0,23,10,78,33,8,0,33.160179,-85.377349
CAPITOL HILL HEALTHCARE CENTER,015390,520 SOUTH HULL STREET,MONTGOMERY,Montgomery,64,33,40,16,202,39,28,1,32.371427,-86.303503
ASPIRE PHYSICAL RECOVERY CENTER OF WEST ALABAMA,015465,2400 HOSPITAL DRIVE,NORTHPORT,Tuscaloosa,3,0,7,0,59,11,12,0,33.231822,-87.569485
