Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths,Latitude,Longitude
"COLUMBIANA HEALTH AND REHABILITATION, LLC",015453,22969 HIGHWAY 25,COLUMBIANA,Shelby,52,18,31,10,49,50,14,0,33.19437,-86.591664
"GENERATIONS OF RED BAY, LLC",015201,106 TENTH AVENUE NORTHWEST,RED BAY,Franklin,3,19,10,1,59,7,66,0,34.450158,-88.146575
AHC MILLENIUM,015458,5275 MILLENNIUM DRIVE,HUNTSVILLE,Madison,0,9,20,0,73,5,5,0,34.753558,-86.6647
WEST GATE VILLAGE,015035,100 PINEVIEW AND THIRD P.O. BOX 49,BREWTON,Escambia,68,11,11,8,100,42,15,0,0,0
HALEYVILLE HEALTH CARE CENTER,015157,2201 11TH AVENUE,HALEYVILLE,Winston,5,5,20,1,50,15,21,0,34.228696,-87.621338
WESLEY PLACE ON HONEYSUCKLE,015175,718 HONEYSUCKLE ROAD,DOTHAN,Houston,92,4,41,27,132,68,20,0,31.219941,-85.434841
COTTAGE OF THE SHOALS,015067,500 JOHN ALDRIDGE DRIVE,TUSCUMBIA,Colbert,18,8,15,1,65,31,19,0,34.726575,-87.679028
DIVERSICARE OF LANETT,015196,702 SOUTH 13TH STREET,LANETT,Chambers,9,1,39,0,75,17,6,0,32.857048,-85.19576
HERITAGE HEALTH CARE & REHAB INC,015371,1101 SNOWS MILL AVENUE,TUSCALOOSA,Tuscaloosa,70,31,45,12,118,56,24,0,33.228213,-87.56034
ALTOONA  HEALTH & REHAB,015101,6532 WALNUT GROVE ROAD,ALTOONA,Etowah,34,3,5,5,43,33,1,0,34.034331,-86.31955400000001
TLC NURSING CENTER,015422,212 ELLEN STREET,ONEONTA,Blount,56,7,28,10,67,28,0,0,33.964315,-86.456099
ASPIRE PHYSICAL RECOVERY CENTER AT CAHABA RIVER,015468,3070 HEALTHY WAY,VESTAVIA,Jefferson,11,9,25,0,91,15,4,0,33.427556,-86.737347
KIRKWOOD BY THE RIVER,015457,3605 RATLIFF ROAD,BIRMINGHAM,Jefferson,22,0,7,7,39,15,0,0,33.542569,-86.634703
LEGACY HEALTH AND REHABILITATION OF PLEASANT GROVE,015461,30 7TH STREET,PLEASANT GROVE,Jefferson,9,32,19,0,117,14,12,1,33.489091,-86.956908
ORCHARD REHABILITATION & HEALTHCARE CENTER,015442,629 STATE HIGHWAY 21 SOUTH,HAYNEVILLE,Lowndes,10,0,4,4,52,25,0,0,32.178871,-86.590764
ANNISTON HEALTH AND REHAB SERVICES,015375,600 E 8TH STREET,ANNISTON,Calhoun,1,0,8,0,60,12,0,0,0,0
MONROE MANOR HEALTH & REHABILITATION CENTER,015398,236 WEST CLAIBORNE STREET,MONROEVILLE,Monroe,54,17,9,5,63,58,28,0,31.526525,-87.328088
"NHC HEALTHCARE, MOULTON",015128,300 HOSPITAL STREET,MOULTON,Lawrence,76,1,28,25,94,58,2,0,34.483691,-87.28598900000001
HATLEY HEALTH CARE INC,015023,300 MEDICAL CENTER DRIVE,CLANTON,Chilton,104,20,35,25,99,86,54,0,32.854872,-86.626014
"TALLADEGA HEALTHCARE CENTER, INC",015162,616 CHAFFEE STREET,TALLADEGA,Talladega,117,220,14,5,178,67,59,0,33.427681,-86.0881
SHELBY RIDGE NURSING HOME,015411,881 3RD STREET NORTHEAST,ALABASTER,Shelby,58,71,53,13,124,42,72,0,33.251015,-86.811821
"LUVERNE HEALTH AND REHABILITATION, LLC",015336,142 WEST THIRD STREET,LUVERNE,Crenshaw,80,16,47,17,114,54,31,0,31.716316,-86.266136
"GEORGIANA HEALTH AND REHABILITATION, LLC",015182,206 PALMER AVENUE,GEORGIANA,Butler,29,1,16,2,84,11,4,0,31.642937,-86.73282100000002
DIVERSICARE OF BESSEMER,015209,820 GOLF COURSE ROAD,BESSEMER,Jefferson,78,2,42,26,130,54,3,1,33.369766,-86.991533
DIVERSICARE OF RIVERCHASE,015145,2500 RIVERHAVEN DRIVE,BIRMINGHAM,Jefferson,62,26,16,13,103,39,11,0,0,0
COLLINSVILLE HEALTHCARE & REHAB,015207,685 NORTH VALLEY AVE,COLLINSVILLE,DeKalb,75,45,33,8,141,66,38,1,34.271329,-85.857688
SPRINGHILL MANOR NURSING HOME,015415,3900 OLD SHELL ROAD,MOBILE,Mobile,4,2,2,0,0,8,2,0,30.698571000000005,-88.134047
ARBOR WOODS HEALTH AND REHAB,015141,515 2ND AVENUE NORTHWEST,REFORM,Pickens,0,0,6,0,53,4,2,0,33.381773,-88.019974
TWIN OAKS REHABILITATION AND HEALTHCARE CENTER,015211,857 CRAWFORD LANE,MOBILE,Mobile,92,2,16,11,93,71,7,0,30.716861,-88.073534
MCGUFFEY HEALTH & REHABILITATION CENTER,015202,2301 RAINBOW DRIVE,GADSDEN,Etowah,25,28,40,1,141,23,72,0,33.970964,-86.01993
CROWNE HEALTH CARE OF EUFAULA,015199,430 RIVERS AVENUE,EUFAULA,Barbour,118,27,37,11,128,53,28,0,31.890289,-85.158103
LAFAYETTE EXTENDED CARE,015197,805 HOSPITAL STREET SOUTHWEST,LAFAYETTE,Chambers,1,1,9,1,54,3,1,0,32.884336,-85.412365
BARON HOUSE OF HUEYTOWN,015404,190 BROOKLANE DRIVE,HUEYTOWN,Jefferson,13,0,23,12,29,26,23,0,33.446755,-86.979029
FALKVILLE HEALTH CARE CENTER,015136,10 WEST 3RD STREET  PO BOX 409,FALKVILLE,Morgan,70,21,16,10,79,35,25,0,34.368669,-86.910173
EASTVIEW REHABILITATION & HEALTHCARE CENTER,015014,7755 FOURTH AVENUE SOUTH,BIRMINGHAM,Jefferson,31,6,6,0,68,35,1,0,33.559483,-86.722451
WIREGRASS REHABILITATION CENTER & NURSING HOME,015150,1200 MAPLE AVENUE WEST,GENEVA,Geneva,33,4,25,11,73,49,33,0,31.048063000000003,-85.890837
REGENCY HEALTH CARE AND REHABILITATION CENTER,015372,"2061 POOLE DRIVE, NW",HUNTSVILLE,Madison,2,4,3,0,70,3,2,0,34.761811,-86.595342
"NORTHWAY HEALTH AND REHABILITATION, LLC",015047,1424 NORTH 25TH STREET,BIRMINGHAM,Jefferson,10,5,12,0,103,12,3,0,33.533253,-86.809226
CHERRY HILL REHABILITATION & HEALTHCARE CENTER,015445,1250 JEFF GERMANY PARKWAY,BIRMINGHAM,Jefferson,35,2,5,0,101,24,0,0,33.560549,-86.868957
LIGHTHOUSE REHABILITATION & HEALTHCARE CENTER,015413,2911 EARL GOODWIN PARKWAY,SELMA,Dallas,23,13,8,3,59,21,6,0,32.439932,-87.014543
"PRATTVILLE HEALTH AND REHABILITATION, LLC",015065,601 JASMINE TRAIL,PRATTVILLE,Autauga,24,11,34,2,118,36,16,0,32.480579,-86.428676
DIVERSICARE OF ONEONTA,015159,215 VALLEY ROAD,ONEONTA,Blount,33,1,16,0,107,52,7,1,33.951988,-86.466169
ALICEVILLE MANOR NURSING HOME,015137,703 17TH STREET NORTHWEST,ALICEVILLE,Pickens,39,27,11,3,71,31,27,0,33.134382,-88.16865
BIBB MED CENTER NURSING HOME,015215,208 PIERSON AVE,CENTREVILLE,Bibb,100,8,30,15,97,42,0,0,32.951101,-87.147865
ANDALUSIA MANOR,015416,670 MOORE RD,ANDALUSIA,Covington,60,24,22,9,89,54,27,0,31.282418999999997,-86.497781
SOUTHERN SPRINGS HEALTHCARE FACILITY,015171,745 SOUTHERN SPRINGS ROAD,UNION SPRINGS,Bullock,60,42,20,10,87,47,6,0,32.140365,-85.689097
BROOKDALE UNIVERSITY PARK SNF (AL),015423,501 UNIVERSITY PARK DRIVE,BIRMINGHAM,Jefferson,6,2,28,0,51,12,15,0,33.457706,-86.799149
WINDSOR HOUSE,015397,4411 MCALLISTER DRIVE,HUNTSVILLE,Madison,28,0,8,0,98,39,1,0,34.71745,-86.630382
"OZARK HEALTH AND REHABILITATION, LLC",015208,312 BRYAN DRIVE,OZARK,Dale,81,7,46,21,123,74,5,0,31.472283,-85.633872
"ASPIRE PHYSICAL RECOVERY CENTER AT HOOVER, LLC",015464,575 SOUTHLAND DRIVE,HOOVER,Jefferson,10,17,26,0,92,15,25,0,33.410061,-86.81002100000002
PARK PLACE,015084,100 PARK PLACE,SELMA,Dallas,48,0,12,12,82,52,1,0,32.426488,-87.053552
CANTERBURY HEALTH CARE FACILITY,015382,1720 KNOWLES ROAD,PHENIX CITY,Russell,22,0,15,5,103,23,0,0,32.447315,-85.019552
CULLMAN HEALTH CARE CENTER,015048,1607 MAIN AVE NE,CULLMAN,Cullman,0,0,7,0,75,6,101,0,34.192058,-86.847418
"FLORENCE NURSING AND REHABILITATION CTR,  LLC",015169,2107 CLOYD BLVD,FLORENCE,Lauderdale,68,32,68,22,117,60,39,0,34.836381,-87.649766
ALLEN HEALTH AND REHABILITATION,015098,735 SOUTH WASHINGTON AVENUE,MOBILE,Mobile,49,26,24,18,66,51,6,1,30.672585999999995,-88.052128
"LINEVILLE HEALTH AND REHABILITATION, LLC",015142,88073 HIGHWAY 9,LINEVILLE,Clay,60,46,26,12,77,41,32,0,33.304426,-85.758194
"PALM GARDENS HEALTH AND REHABILITATION, LLC",015403,3104 DAUPHIN SQUARE CONNECTOR,MOBILE,Mobile,42,6,29,7,68,34,6,0,30.692507000000003,-88.118942
HEALTH CARE INC,015407,P O BOX 130,ASHVILLE,St. Clair,0,0,4,0,47,4,5,0,0,0
MOBILE NURSING AND REHABILITATION CENTER,015379,7020 BRUNS DRIVE,MOBILE,Mobile,41,17,6,3,90,30,11,0,30.657825000000003,-88.204855
"CAREGIVERS OF PLEASANT GROVE, INC",015044,700 FIRST AVENUE,PLEASANT GROVE,Jefferson,35,21,15,11,47,18,3,0,33.487763,-86.95626
"CHAPMAN HEALTHCARE CENTER, INC",015221,3701 DADEVILLE ROAD,ALEXANDER CITY,Tallapoosa,9,0,22,1,148,7,0,0,32.909983,-85.919439
FAIRVIEW AT REDSTONE VILLAGE,015454,12000 TURNMEYER DRIVE,HUNTSVILLE,Madison,9,2,9,0,46,12,17,0,34.607304,-86.559341
PARKWOOD HEALTH CARE FACILITY,015179,3301 STADIUM DRIVE,PHENIX CITY,Russell,2,3,28,0,69,14,16,0,32.490965,-85.018939
CLEBURNE COUNTY NURSING HOME,015053,122 BROCKFORD ROAD,HEFLIN,Cleburne,,,,,,,,,33.63607300000001,-85.589035
DIVERSICARE OF WINFIELD,015376,144 COUNTY HWY 14,WINFIELD,Marion,72,17,30,15,101,42,19,1,33.937692,-87.820898
ROANOKE REHABILITATION & HEALTHCARE CENTER,015424,680 SEYMOUR DRIVE,ROANOKE,Randolph,42,22,6,6,48,35,10,0,33.141878,-85.383506
"OAK KNOLL HEALTH AND REHABILITATION, LLC",015117,824 SIXTH AVENUE WEST,BIRMINGHAM,Jefferson,73,25,13,1,75,42,8,0,33.510568,-86.850394
"MOUNDVILLE HEALTH AND REHABILITATION, LLC",015187,THIRD AVENUE    P O BOX 607,MOUNDVILLE,Hale,0,7,22,0,57,10,15,0,0,0
WASHINGTON COUNTY NURSING HOME,015123,14600 ST STEPHENS AVENUE,CHATOM,Washington,26,21,11,4,77,29,16,1,31.460296000000003,-88.235291
OAKWOOD-NORTH BALDWIN'S CENTER FOR LIVING,015417,2010 MEDICAL CENTER DRIVE,BAY MINETTE,Baldwin,46,19,13,4,60,34,38,0,30.905552,-87.786446
NORTHSIDE HEALTH CARE,015223,700 HUTCHINS AVENUE,GADSDEN,Etowah,34,4,4,1,89,41,8,0,34.042751,-85.954822
COLONIAL HAVEN CARE & REHABILITATION CENTER,015396,616 ARMORY STREET,GREENSBORO,Hale,44,0,14,11,65,56,0,1,32.699648,-87.585068
CAMDEN NURSING FACILITY INC.,015374,210 PONDEROSA DRIVE,CAMDEN,Wilcox,32,4,11,6,49,40,13,0,0,0
MADISON MANOR NURSING HOME,015214,3891 SULLIVAN ST,MADISON,Madison,0,7,12,0,70,6,21,0,34.683955,-86.751669
LYNWOOD NURSING HOME,015434,4164 HALLS MILL ROAD,MOBILE,Mobile,55,0,20,18,104,42,10,0,30.626021,-88.13685
"RIDGEVIEW HEALTH SERVICES, INC",015155,"907 11TH STREET, NE",JASPER,Walker,112,55,52,20,93,110,76,0,33.859719,-87.26335
SANCTUARY AT THE WOODLANDS,015471,1910 CHEROKEE  AVENUE SW,CULLMAN,Cullman,9,0,12,4,28,15,11,0,34.150254,-86.844082
TRAYLOR RETIREMENT COMMUNITY,015126,1235 YANCEY STREET  P O BOX 467,ROANOKE,Randolph,58,0,23,10,78,33,8,0,33.160179,-85.377349
CAPITOL HILL HEALTHCARE CENTER,015390,520 SOUTH HULL STREET,MONTGOMERY,Montgomery,64,33,40,16,202,39,28,1,32.371427,-86.303503
ASPIRE PHYSICAL RECOVERY CENTER OF WEST ALABAMA,015465,2400 HOSPITAL DRIVE,NORTHPORT,Tuscaloosa,3,0,7,0,59,11,12,0,33.231822,-87.569485
LAKE VILLAGE REHABILITATION AND CARE CENTER,045184,903 BORGOGNONI DRIVE,LAKE VILLAGE,Chicot,38,12,9,2,46,29,3,0,33.315317,-91.289924
WALNUT RIDGE NURSING AND REHABILITATION CENTER,045151,1500 WEST MAIN STREET,WALNUT RIDGE,Lawrence,52,12,18,6,58,30,0,0,36.074893,-90.971918
SPRINGDALE HEALTH AND REHABILITATION CENTER,045167,102 NORTH GUTENSOHN,SPRINGDALE,Washington,12,21,33,12,78,31,20,0,36.186187,-94.161389
SILVER OAKS HEALTH AND REHABILITATION,045173,1875 OLD WIRE ROAD,CAMDEN,Ouachita,2,21,11,1,81,8,2,0,33.55094100000001,-92.862455
BROOKRIDGE COVE REHABILITATION AND CARE  CENTER,045147,1000 BROOKRIDGE LANE,MORRILTON,Conway,0,0,18,0,61,2,3,0,35.167991,-92.733359
VALLEY SPRINGS REHABILITATION AND HEALTH CENTER,045138,228 POINTER TRAIL WEST,VAN BUREN,Crawford,1,0,11,0,87,5,2,0,35.459182,-94.362707
SOMERSET SENIOR LIVING AT HARRISON,045197,115 ORENDORFF AVENUE,HARRISON,Boone,55,0,25,16,49,49,1,0,36.248859,-93.121181
JONESBORO WELLNESS LLC,045134,1705 LATOURETTE DRIVE,JONESBORO,Craighead,42,0,37,6,87,52,11,0,35.80113,-90.68648
WEST MEMPHIS HEALTH AND REHAB,045217,610 SOUTH AVALON ST,WEST MEMPHIS,Crittenden,83,24,21,15,40,71,8,0,35.137995,-90.193613
CHAPEL WOODS HEALTH AND REHABILITATION,045201,1440 EAST CHURCH,WARREN,Bradley,1,48,13,0,79,11,38,0,33.607913,-92.034829
INDIAN ROCK VILLAGE HEALTH CENTER,045153,265 DAVE CREEK PARKWAY,FAIRFIELD BAY,Van Buren,0,0,5,0,28,0,0,0,35.617374,-92.263021
GENERAL BAPTIST NURSING HOME OF PIGGOTT,045178,450 S 9TH AVE,PIGGOTT,Clay,9,4,13,2,35,11,4,0,36.380542,-90.19841300000002
"JOHNSON COUNTY HEALTH AND REHAB, LLC",045168,1451 EAST POPLAR STREET,CLARKSVILLE,Johnson,3,4,17,0,104,6,18,0,35.464252,-93.438865
"THE WATERS OF MOUNTAIN VIEW, LLC",045146,706 OAK GROVE ST,MOUNTAIN VIEW,Stone,114,12,57,30,66,51,14,0,35.869237,-92.107819
SOMERSET SENIOR LIVING AT SEVEN SPRINGS,045158,1040 WEDDING FORD ROAD,HEBER SPRINGS,Cleburne,0,0,28,0,58,2,12,0,35.502206,-92.033955
FAYETTEVILLE HEALTH AND REHABILITATION CENTER,045220,3100 OLD MISSOURI RD,FAYETTEVILLE,Washington,78,3,40,13,90,32,4,0,36.108229,-94.13334
ASH FLAT HEALTHCARE AND REHABILITATION CENTER,045155,66 OZBIRN LANE,ASH FLAT,Sharp,41,7,24,5,63,22,10,0,36.229743,-91.609375
SEARCY HEALTHCARE LLC,045140,1205 SKYLINE DRIVE,SEARCY,White,25,0,23,1,100,38,4,0,35.245533,-91.75782300000002
THE GREEN HOUSE COTTAGES OF BELLE MEADE,045170,2200 CHATEAU BOULEVARD,PARAGOULD,Greene,18,1,24,1,118,26,6,0,36.043874,-90.515341
"THE WATERS OF ROGERS, LLC",045212,1513 SOUTH DIXIELAND RD,ROGERS,Benton,,,,,,,,,36.320524,-94.143954
SOMERSET SENIOR LIVING AT PINE HILLS,045189,900 MAGNOLIA RD,CAMDEN,Ouachita,17,12,12,3,61,8,2,0,33.571818,-92.844676
CAVE CITY NURSING HOME INC,045148,442 TAYLOR CIRCLE,CAVE CITY,Sharp,1,4,10,0,63,3,27,0,35.948016,-91.551406
DERMOTT CITY NURSING HOME,045172,702 WEST GAINES ST,DERMOTT,Chicot,41,5,52,41,31,22,8,0,33.519137,-91.444469
"COURTYARD REHABILITATION AND HEALTH CENTER, LLC",045182,2415 W HILLSBORO,EL DORADO,Union,44,4,15,6,62,32,2,0,33.207792,-92.697943
"CRESTPARK DEWITT, LLC",045177,1325 LIBERTY DRIVE,DE WITT,Arkansas,28,0,9,5,38,26,2,0,34.274759,-91.349773
BUTTERFIELD TRAIL VILLAGE,045125,1923 EAST JOYCE BLVD,FAYETTEVILLE,Washington,14,4,4,1,44,11,11,0,36.120087,-94.13287
"CRESTPARK WYNNE, LLC",045166,400 ARKANSAS STREET,WYNNE,Cross,2,1,6,0,47,7,8,0,35.924401,-89.909902
TWIN RIVERS HEALTH AND REHABILITATION,045216,3021 TWIN RIVERS DRIVE,ARKADELPHIA,Clark,20,10,4,3,72,18,0,0,34.122599,-93.087238
ARKANSAS NURSING AND REHABILITATION CENTER,045211,2107 DUDLEY STREET,TEXARKANA,Miller,9,0,14,1,98,15,2,0,33.41984,-94.020553
BATESVILLE HEALTHCARE LLC,045203,1975 WHITE DRIVE,BATESVILLE,Independence,98,1,86,75,61,63,2,0,35.791288,-91.607537
"LAKEWOOD HEALTH AND REHAB, LLC",045202,2323 MCCAIN BOULEVARD,NORTH LITTLE ROCK,Pulaski,72,1,0,0,44,63,27,0,34.797914,-92.240514
THE CROSSING AT RIVERSIDE HEALTH AND REHABILITATIO,045209,2500 EAST MOORE AVENUE,SEARCY,White,32,82,20,5,103,18,18,0,35.253706,-91.708904
"CONCORDIA NURSING & REHAB, LLC",045143,7 PROFESSIONAL DRIVE,BELLA VISTA,Benton,1,0,12,0,37,4,1,0,36.474911,-94.25299200000002
HEARTLAND REHABILITATION AND CARE CENTER,045199,19701 INTERSTATE 30,BENTON,Saline,4,3,32,0,82,10,1,0,34.598917,-92.55144
HOT SPRINGS NURSING AND REHABILITATION- A WATERS C,045098,552 GOLF LINKS ROAD,HOT SPRINGS,Garland,28,32,30,25,87,91,12,0,34.472615,-93.04697
GASSVILLE THERAPY AND LIVING,045218,203 COTTER ROAD,GASSVILLE,Baxter,37,8,30,10,57,12,18,0,36.280682,-92.499243
HUDSON MEMORIAL NURSING HOME,045214,700 N. COLLEGE AVENUE,EL DORADO,Union,41,13,32,23,50,31,5,0,33.218523,-92.674105
SOMERSET SENIOR LIVING AT CANYON SPRINGS,045142,1401 PARK AVENUE,HOT SPRINGS,Garland,16,2,7,3,43,15,0,0,34.533296,-93.037342
THE WOODS OF MONTICELLO HEALTH AND REHABILITATION,045176,1194 N CHESTER ST,MONTICELLO,Drew,0,2,11,0,62,5,3,0,33.645199,-91.79136
BENTLEY REHABILITATION AND HEALTH CENTER,045194,1100 EAST 36TH STREET,TEXARKANA,Miller,1,3,8,2,47,12,2,0,33.457396,-94.03087100000002
RIVER RIDGE REHABILITATION AND CARE CENTER,045157,1100 EAST MARTIN DRIVE,WYNNE,Cross,35,1,35,8,50,21,6,0,35.216024000000004,-90.78129
"CRESTPARK FORREST CITY, LLC",045219,500 KITTLE RD,FORREST CITY,St. Francis,0,0,0,0,50,4,0,0,35.016898,-90.772228
"SALEM PLACE NURSING AND REHABILITATION CENTER, INC",045183,2401 CHRISTINA LANE,CONWAY,Faulkner,,,,,,,,,35.068405,-92.461642
MAGNOLIA HEALTHCARE LLC,045135,2642 NORTH DUDNEY ROAD,MAGNOLIA,Columbia,44,9,30,13,62,30,11,0,33.296281,-93.210542
ROGERS HEALTH AND REHABILITATION CENTER,045070,1149 W NEW HOPE RD,ROGERS,Benton,10,9,8,0,78,8,2,0,36.311903,-94.133588
THE GREEN HOUSE COTTAGES OF WENTWORTH PLACE,045187,26 WARNOCK SPRINGS ROAD,MAGNOLIA,Columbia,13,9,16,0,97,15,6,0,33.279835,-93.211869
RIVER CHASE REHABILITATION AND CARE CENTER,045149,# 12 HOSPITAL DRIVE,MORRILTON,Conway,2,1,18,0,39,6,17,0,0,0
"CABOT HEALTH AND REHAB, LLC",045208,200 NORTHPORT DRIVE,CABOT,Lonoke,50,9,23,14,46,42,19,0,34.98119,-92.044149
"NASHVILLE WELLNESS, LLC",045180,1407 NORTH MAIN STREET,NASHVILLE,Howard,3,2,8,1,61,11,0,0,33.958838,-93.846333
GOOD SAMARITAN SOCIETY - HOT SPRINGS VILLAGE,045191,121 CORTEZ RD,HOT SPRINGS VILLAGE,Garland,1,0,0,0,31,10,10,0,34.671545,-92.963763
SOUTHRIDGE VILLAGE NURSING AND REHAB,045196,400 SOUTHRIDGE PARKWAY,HEBER SPRINGS,Cleburne,68,3,32,13,66,51,12,0,35.49248,-91.997992
OUACHITA NURSING AND REHABILITATION CENTER,045207,1411 COUNTRY CLUB ROAD,CAMDEN,Ouachita,7,2,14,3,64,6,1,0,33.575447,-92.85617700000002
SOMERSET SENIOR LIVING AT CROSSETT,045190,1101 WATERWELL RD,CROSSETT,Ashley,0,0,1,1,42,5,2,0,33.111452,-91.947906
"WEST MEMPHIS WELLNESS, LLC",045195,800 WEST BROADWAY,WEST MEMPHIS,Crittenden,68,15,32,14,63,66,37,0,35.146041,-90.201694
SOMERSET SENIOR LIVING AT MCGEHEE,045139,700 MARK DRIVE,MCGEHEE,Desha,0,1,0,0,40,3,0,0,33.631156,-91.406543
SOMERSET SENIOR LIVING AT MOUNT VISTA,045192,202 TIMS AVENUE,HARRISON,Boone,60,14,21,7,63,33,13,0,36.24727,-93.12052
ADVANCED HEALTH AND REHAB OF UNION COUNTY,045275,1700 EAST SHORT HILLSBORO,EL DORADO,Union,10,308,5,2,53,16,59,0,33.20703,-92.64313
GREENBRIER NURSING AND REHABILITATION CENTER,045381,#16 WILSON FARM ROAD,GREENBRIER,Faulkner,0,1,1,0,70,1,3,0,35.222545,-92.385007
"STONEGATE VILLA HEALTH AND REHABILITATION, LLC",045437,118 JERRY SELBY DRIVE,CROSSETT,Ashley,0,0,11,0,55,1,4,0,33.139932,-91.939036
WINDCREST HEALTH AND REHAB INC,045367,2455 LOWELL ROAD,SPRINGDALE,Washington,0,0,1,0,58,13,0,1,36.206119,-94.133472
NORTH HILLS LIFE CARE AND REHAB,045398,27 E APPLEBY ROAD,FAYETTEVILLE,Washington,25,24,28,5,69,25,31,0,36.107851,-94.155228
ST MICHAEL'S HEALTHCARE,045323,1311 NORTH PECAN ST,NEWPORT,Jackson,7,1,13,1,62,17,4,0,35.617883,-91.264446
BELLE VIEW ESTATES REHABILITATION AND CARE CENTER,045239,1052 OLD WARREN ROAD,MONTICELLO,Drew,1,2,14,0,62,8,2,0,33.613539,-91.813489
SPRING CREEK HEALTH & REHAB,045392,804 N 2ND ST,CABOT,Lonoke,2,79,5,0,78,4,1,0,34.980196,-92.01083900000002
OZARK NURSING HOME INC,045386,600 NORTH 12TH ST,OZARK,Franklin,48,36,0,0,83,49,61,0,35.494031,-93.83664400000002
"THE WATERS OF STAMPS, LLC",045232,826 NORTH STREET,STAMPS,Lafayette,23,3,2,2,39,9,0,0,33.369119,-93.489996
THE GREEN HOUSE COTTAGES OF SOUTHERN HILLS,045377,701 SOUTH MAIN STREET,RISON,Cleveland,26,5,22,10,69,39,24,0,33.95499,-92.188665
"SHILOH NURSING AND REHAB, LLC",045427,1092 WEST STULTZ ROAD,SPRINGDALE,Washington,10,6,13,1,59,20,1,0,0,0
"HICKORY HEIGHTS HEALTH AND REHAB, LLC",045455,#3 CHENAL HEIGHTS DRIVE,LITTLE ROCK,Pulaski,13,5,3,0,82,20,10,0,34.777588,-92.451199
"INNISFREE HEALTH AND REHAB, LLC",045302,301 SOUTH 24TH STREET,ROGERS,Benton,1,0,0,0,56,7,2,0,36.331709000000004,-94.152405
ARKANSAS STATE VETERANS HOME AT NORTH LITTLE ROCK,045462,2401 JOHN ASHLEY DRIVE,NORTH LITTLE ROCK,Pulaski,7,0,0,0,92,16,6,0,34.780813,-92.289742
ARKANSAS CONVALESCENT CENTER,045277,6301 SOUTH  HAZEL STREET,PINE BLUFF,Jefferson,70,29,20,14,60,32,7,0,34.163006,-92.024056
TRINITY VILLAGE MEDICAL CENTER,045438,6400 TRINITY DRIVE,PINE BLUFF,Jefferson,3,0,9,0,52,11,6,0,34.164598,-92.028617
THE VILLAGES OF GENERAL BAPTIST HEALTH CARE  EAST,045311,6811 SOUTH HAZEL STREET,PINE BLUFF,Jefferson,20,0,6,6,4,3,0,0,34.155483,-92.023992
"THE WATERS OF WEST DIXON, LLC",045446,2821 W DIXON RD,LITTLE ROCK,Pulaski,21,5,0,0,72,30,3,0,34.658755,-92.286944
MOUNTAIN MEADOWS HEALTH AND REHABILITATION,045369,1680 BATESVILLE BOULEVARD,BATESVILLE,Independence,76,7,25,17,66,34,5,0,35.708146,-91.630228
COURTYARD GARDENS HEALTH AND REHABILITATION CENTER,045350,2701 TWIN RIVERS DRIVE,ARKADELPHIA,Clark,2,0,19,1,78,3,5,0,34.126936,-93.082238
PERRY COUNTY NURSING AND REHABILITATION CENTER,045246,1321 SCENIC DRIVE,PERRYVILLE,Perry,1,2,0,0,53,3,2,0,35.007919,-92.81216900000001
COTTAGE LANE HEALTH AND REHAB,045458,800 BROOKSIDE DRIVE,LITTLE ROCK,Pulaski,37,10,17,11,66,39,37,0,34.758904,-92.373136
THE VILLAGE AT VALLEY RANCH,045431,6411 VALLEY RANCH DRIVE,LITTLE ROCK,Pulaski,35,0,12,4,82,30,3,0,34.813825,-92.474726
GARDNER NURSING AND REHABILITATION,045269,702 NO DREW ST,STAR CITY,Lincoln,0,0,3,0,50,6,10,0,33.949903,-91.844565
EAST POINT HEALTH AND REHAB,045469,505 E VICTORY ST,STAR CITY,Lincoln,0,0,1,0,49,1,0,0,33.937486,-91.837653
RANDOLPH COUNTY NURSING HOME,045443,500 CAMP ROAD,POCAHONTAS,Randolph,85,124,34,17,105,55,96,0,0,0
HAPPY VALLEY NURSING & REHABILITATION,045459,955 DIVISION STREET,MALVERN,Hot Spring,1,0,1,0,36,1,0,0,34.377247,-92.814753
ALCOA PINES HEALTH AND REHABILITATION,045408,3300 ALCOA ROAD,BENTON,Saline,75,17,28,9,58,28,1,0,34.576272,-92.547047
NURSING AND REHABILITATION CENTER AT GOOD SHEPHERD,045343,3001 ALDERSGATE ROAD,LITTLE ROCK,Pulaski,6,0,16,1,98,18,1,0,34.727618,-92.389225
"BRIARWOOD NURSING AND REHABILITATION CENTER,INC",045387,516 SO RODNEY PARHAM RD,LITTLE ROCK,Pulaski,78,0,29,10,79,36,1,0,34.748841,-92.363337
"CRESTPARK HELENA, LLC",045221,116 NOVEMBER DRIVE,HELENA,Phillips,14,3,12,3,45,19,2,0,34.541173,-90.62052800000001
MANILA HEALTHCARE CENTER,045297,814 NORTH DAVIS ST,MANILA,Mississippi,0,3,10,0,60,6,4,0,35.890053,-90.15931
ALLAY HEALTH AND REHAB,045288,3115 BOWMAN ROAD,LITTLE ROCK,Pulaski,1,0,5,4,28,4,0,0,0,0
