Facility Name,Facility Name Normalized,Date Collected,State,County,City,State Facility Type,CTP Facility Categorization,State/Fed Regulated,State Facility ID,CMS Facility ID,Date outbreak opened,Date outreak closed,Outbreak Status,Resident Census,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Residents Tested,Staff Tested,Personal Protective Equipment
Whetstone Rehab Center and Skilled Nursing,WHETSTONE REHABILITATION CENTER AND SKILLED NURSING,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willow Brook Christian Home,WILLOW BROOK CHRISTIAN HOME,20201104,OH,FRANKLIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swanton Health Care and Retirement,SWANTON HEALTH CARE AND RETIREMENT,20201104,OH,FULTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amelia Grace Assisted Living,AMELIA GRACE ASSISTED LIVING,20201104,OH,GEAUGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arden Courts of Chagrin Falls,ARDEN COURTS OF CHAGRIN FALLS,20201104,OH,GEAUGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burton Healthcare and Rehab,BURTON HEALTHCARE AND REHABILITATION,20201104,OH,GEAUGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohman Family at Briar Hill,OHMAN FAMILY AT BRIAR HILL,20201104,OH,GEAUGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohman Family at Holly Hill,OHMAN FAMILY AT HOLLY HILL,20201104,OH,GEAUGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Weils,THE WEILS,20201104,OH,GEAUGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookdale Beavercreek,BROOKDALE BEAVERCREEK,20201104,OH,GREENE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookdale Fox Run,BROOKDALE FOX RUN,20201104,OH,GREENE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookdale Kettering,BROOKDALE KETTERING,20201104,OH,GREENE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmcroft Xenia,ELMCROFT XENIA,20201104,OH,GREENE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARBOR CHASE,HARBOR CHASE,20201104,OH,GREENE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traditions of Beavercreek,TRADITIONS OF BEAVERCREEK,20201104,OH,GREENE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity of Beavercreek,TRINITY OF BEAVERCREEK,20201104,OH,GREENE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wickshire Fairborn,WICKSHIRE FAIRBORN,20201104,OH,GREENE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alois Alzheimer Center,ALOIS ALZHEIMER CENTER,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arden Court of Kenwood,ARDEN COURT OF KENWOOD,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artis Senior Living Bridgetown,ARTIS SENIOR LIVING BRIDGETOWN,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrington House of Oakley,BARRINGTON HOUSE OF OAKLEY,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beechwood Home,BEECHWOOD HOME,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridgeway Pointe,BRIDGEWAY POINTE,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookdale Kenwood,BROOKDALE KENWOOD,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookside Healthcare Center,BROOKSIDE HEALTHCARE CENTER,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Village of Mt Healthy,CHRISTIAN VILLAGE OF MT HEALTHY,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cottingham Retirement,COTTINGHAM RETIREMENT,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deupree House,DEUPREE HOUSE,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evergreen Retirement Community,EVERGREEN RETIREMENT COMMUNITY,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenwood by Senior Star,KENWOOD BY SENIOR STAR,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lodge Nursing and Rehab Center,LODGE NURSING AND REHABILITATION CENTER,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mallard Cove,MALLARD COVE,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northgate Park,NORTHGATE PARK,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwood Tower's Post Acute,NORWOOD TOWER'S POST ACUTE,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanctuary Pointe,SANCTUARY POINTE,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Paul Village,ST PAUL VILLAGE,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ashford of Mt Washington,THE ASHFORD OF MT WASHINGTON,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traditions at Camargo,TRADITIONS AT CAMARGO,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triple Creek,TRIPLE CREEK,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twin Lakes,TWIN LAKES,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twin Towers Senior Living Community,TWIN TOWERS SENIOR LIVING COMMUNITY,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Hills Nursing Home and Rehab,WESTERN HILLS NURSING HOME AND REHABILITATION,20201104,OH,HAMILTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birchaven,BIRCHAVEN,20201104,OH,HANCOCK,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookdale,BROOKDALE,20201104,OH,HANCOCK,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Crest LTC,VAN CREST LTC,20201104,OH,HENRY,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlin House,CARLIN HOUSE,20201104,OH,HOCKING,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walnut Hills,WALNUT HILLS,20201104,OH,HOLMES,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willows at Bellevue,WILLOWS AT BELLEVUE,20201104,OH,HURON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willows at Willard,WILLOWS AT WILLARD,20201104,OH,HURON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Carriage House of Steubenville,THE CARRIAGE HOUSE OF STEUBENVILLE,20201104,OH,JEFFERSON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concepts in Community Living,CONCEPTS IN COMMUNITY LIVING,20201104,OH,KNOX,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Club Rehabilitation,COUNTRY CLUB REHABILITATION,20201104,OH,KNOX,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Vernon Health and Rehabilitation Center,MOUNT VERNON HEALTH AND REHABILITATION CENTER,20201104,OH,KNOX,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Eastern Star Home,OHIO EASTERN STAR HOME,20201104,OH,KNOX,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brittany Residential,BRITTANY RESIDENTIAL,20201104,OH,LAKE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookdale Mentor,BROOKDALE MENTOR,20201104,OH,LAKE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookdale Wickliffe,BROOKDALE WICKLIFFE,20201104,OH,LAKE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danbury Senior Living,DANBURY SENIOR LIVING,20201104,OH,LAKE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivy House Assisted Living,IVY HOUSE ASSISTED LIVING,20201104,OH,LAKE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maple Ridge Senior Living,MAPLE RIDGE SENIOR LIVING,20201104,OH,LAKE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salida Woods,SALIDA WOODS,20201104,OH,LAKE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapestry Senior Living Wickliffe,TAPESTRY SENIOR LIVING WICKLIFFE,20201104,OH,LAKE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Enclave of Newell Creek,THE ENCLAVE OF NEWELL CREEK,20201104,OH,LAKE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vista Springs Quail Highlands,VISTA SPRINGS QUAIL HIGHLANDS,20201104,OH,LAKE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Close to Home,CLOSE TO HOME,20201104,OH,LAWRENCE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyngate at Riversedge,WYNGATE AT RIVERSEDGE,20201104,OH,LAWRENCE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapel Grove,CHAPEL GROVE,20201104,OH,LICKING,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chestnut House,CHESTNUT HOUSE,20201104,OH,LICKING,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendal at Granville,KENDAL AT GRANVILLE,20201104,OH,LICKING,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middleton Senior Living,MIDDLETON SENIOR LIVING,20201104,OH,LICKING,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907 at Central School,1907 AT CENTRAL SCHOOL,20201104,OH,LORAIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independence Village,INDEPENDENCE VILLAGE,20201104,OH,LORAIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O'Neill North Ridgeville,O'NEILL NORTH RIDGEVILLE,20201104,OH,LORAIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesleyan Village,WESLEYAN VILLAGE,20201104,OH,LORAIN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbors at Oregon,ARBORS AT OREGON,20201104,OH,LUCAS,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Scott,ELIZABETH SCOTT,20201104,OH,LUCAS,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingston Residence of Sylvania,KINGSTON RESIDENCE OF SYLVANIA,20201104,OH,LUCAS,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakes of Monclova,LAKES OF MONCLOVA,20201104,OH,LUCAS,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landings of Oregon,LANDINGS OF OREGON,20201104,OH,LUCAS,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merit House,MERIT HOUSE,20201104,OH,LUCAS,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Meadows a Villa Center,SPRING MEADOWS A VILLA CENTER,20201104,OH,LUCAS,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Glendale Assisted Living,THE GLENDALE ASSISTED LIVING,20201104,OH,LUCAS,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluebird retirement home,BLUEBIRD RETIREMENT HOME,20201104,OH,MADISON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgewater Place,EDGEWATER PLACE,20201104,OH,MADISON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sister,SISTER,20201104,OH,MADISON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonine Village,ANTONINE VILLAGE,20201104,OH,MAHONING,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austintown Healthcare,AUSTINTOWN HEALTHCARE,20201104,OH,MAHONING,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austinwoods,AUSTINWOODS,20201104,OH,MAHONING,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookdale Assisted Living Austintown,BROOKDALE ASSISTED LIVING AUSTINTOWN,20201104,OH,MAHONING,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canfield Place,CANFIELD PLACE,20201104,OH,MAHONING,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crandall Medical Copeland Oaks,CRANDALL MEDICAL COPELAND OAKS,20201104,OH,MAHONING,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inn at Glenellen,INN AT GLENELLEN,20201104,OH,MAHONING,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inn at Ironwood,INN AT IRONWOOD,20201104,OH,MAHONING,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inn at Poland Way,INN AT POLAND WAY,20201104,OH,MAHONING,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marion Living Center,MARION LIVING CENTER,20201104,OH,MAHONING,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Park Vista Retirement Home,PARK VISTA RETIREMENT HOME,20201104,OH,MAHONING,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shepherd of the Valley Poland,SHEPHERD OF THE VALLEY POLAND,20201104,OH,MAHONING,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria House Assisted Living,VICTORIA HOUSE ASSISTED LIVING,20201104,OH,MAHONING,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walker Mill,WALKER MILL,20201104,OH,MAHONING,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingston Residence of Marion,KINGSTON RESIDENCE OF MARION,20201104,OH,MARION,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echelon,ECHELON,20201104,OH,MEDINA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmcroft,ELMCROFT,20201104,OH,MEDINA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Residence Wadsworth,LIBERTY RESIDENCE WADSWORTH,20201104,OH,MEDINA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plum Creek Assisted Living,PLUM CREEK ASSISTED LIVING,20201104,OH,MEDINA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Village of Saint Edward,VILLAGE OF SAINT EDWARD,20201104,OH,MEDINA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briarwood Village,BRIARWOOD VILLAGE,20201104,OH,MERCER,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardens of Celina,GARDENS OF CELINA,20201104,OH,MERCER,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookdale Piqua,BROOKDALE PIQUA,20201104,OH,MIAMI,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookdale Troy,BROOKDALE TROY,20201104,OH,MIAMI,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldwell House,CALDWELL HOUSE,20201104,OH,MIAMI,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garbry Ridge,GARBRY RIDGE,20201104,OH,MIAMI,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stellar Care Center,STELLAR CARE CENTER,20201104,OH,MONROE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Wilmington Place,10 WILMINGTON PLACE,20201104,OH,MONTGOMERY,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethany Village,BETHANY VILLAGE,20201104,OH,MONTGOMERY,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brighton Gardens of Washington Twp,BRIGHTON GARDENS OF WASHINGTON TWP,20201104,OH,MONTGOMERY,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookdale Assisted Living of Oakwood,BROOKDALE ASSISTED LIVING OF OAKWOOD,20201104,OH,MONTGOMERY,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookdale Centennial Park,BROOKDALE CENTENNIAL PARK,20201104,OH,MONTGOMERY,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookhaven Retirement Community,BROOKHAVEN RETIREMENT COMMUNITY,20201104,OH,MONTGOMERY,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centerville Place Assisted Living,CENTERVILLE PLACE ASSISTED LIVING,20201104,OH,MONTGOMERY,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cottages of Clayton,COTTAGES OF CLAYTON,20201104,OH,MONTGOMERY,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danbury Senior Living Huber Heights,DANBURY SENIOR LIVING HUBER HEIGHTS,20201104,OH,MONTGOMERY,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurelwood Assisted Living,LAURELWOOD ASSISTED LIVING,20201104,OH,MONTGOMERY,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanctuary at Wilmington Place,SANCTUARY AT WILMINGTON PLACE,20201104,OH,MONTGOMERY,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Hills Singing Woods,SPRING HILLS SINGING WOODS,20201104,OH,MONTGOMERY,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Leonard,ST LEONARD,20201104,OH,MONTGOMERY,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sycamore Glen Assisted Living,SYCAMORE GLEN ASSISTED LIVING,20201104,OH,MONTGOMERY,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helen Purcell,HELEN PURCELL,20201104,OH,MUSKINGUM,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oaks at Bethesda,OAKS AT BETHESDA,20201104,OH,MUSKINGUM,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oaks at Northpointe,OAKS AT NORTHPOINTE,20201104,OH,MUSKINGUM,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primrose Retirement Community,PRIMROSE RETIREMENT COMMUNITY,20201104,OH,MUSKINGUM,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altercare,ALTERCARE,20201104,OH,NOBLE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otterbein Marblehead SeniorLife Community,OTTERBEIN MARBLEHEAD SENIORLIFE COMMUNITY,20201104,OH,OTTAWA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Inn Enhanced Living Center,COUNTRY INN ENHANCED LIVING CENTER,20201104,OH,PAULDING,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Gardens of Paulding,THE GARDENS OF PAULDING,20201104,OH,PAULDING,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mt Aloysius,MT ALOYSIUS,20201104,OH,PERRY,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardens at Liberty Park,GARDENS AT LIBERTY PARK,20201104,OH,PORTAGE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentridge,KENTRIDGE,20201104,OH,PORTAGE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenbriar Nursing Center,GREENBRIAR NURSING CENTER,20201104,OH,PREBLE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VanCrest Healthcare,VANCREST HEALTHCARE,20201104,OH,PREBLE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meadows of Kalida,MEADOWS OF KALIDA,20201104,OH,PUTNAM,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meadows of Leipsic,MEADOWS OF LEIPSIC,20201104,OH,PUTNAM,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmcroft of Ontario,ELMCROFT OF ONTARIO,20201104,OH,RICHLAND,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ontario Pointe,ONTARIO POINTE,20201104,OH,RICHLAND,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wedgewood Estates,WEDGEWOOD ESTATES,20201104,OH,RICHLAND,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Village,LIBERTY VILLAGE,20201104,OH,ROSS,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Church Residences,NATIONAL CHURCH RESIDENCES,20201104,OH,ROSS,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethany Place,BETHANY PLACE,20201104,OH,SANDUSKY,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmwood of Fremont,ELMWOOD OF FREMONT,20201104,OH,SANDUSKY,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valley View Health Campus,VALLEY VIEW HEALTH CAMPUS,20201104,OH,SANDUSKY,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage Pointe,HERITAGE POINTE,20201104,OH,SCIOTO,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minford Retirement Center,MINFORD RETIREMENT CENTER,20201104,OH,SCIOTO,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River Bend House,RIVER BEND HOUSE,20201104,OH,SCIOTO,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
